র্ট	-8.12866
পশু	-8.15877
হণ	-8.1593
ইয়া	-8.15972
দায়	-8.16178
চাই	-8.16345
তখন	-8.16984
র্ভ	-8.17055
োয়া	-8.17203
ৈরি	-8.17693
ডিট	-8.18096
ালয়	-8.18159
াদন	-8.19671
নেই	-8.22741
সভা	-8.23358
এ	-8.24017
শহর	-8.24325
ক্ট	-8.24494
য়গা	-8.24594
শোধ	-8.2599
এমন	-8.26331
▁খে	-8.26984
ছোট	-8.27236
মৃত	-8.2747
দেন	-8.27504
খেল	-8.27581
ল্ল	-8.28248
ামী	-8.28329
বিদ	-8.28828
্ভব	-8.29153
বুঝ	-8.29276
যন্	-8.30746
▁ইউ	-8.34174
পৃথ	-8.34292
রপর	-8.34416
ভিদ	-8.35033
তবে	-8.35766
গান	-8.36428
▁নয়	-8.36708
রণে	-8.36964
সেচ	-8.3754
▁দ্	-8.39284
স্প	-8.3951
আলু	-8.40195
র্গ	-8.4024
ঃ	-8.55192
ঢ	-8.74687
আ	-9.10321
ঈ	-9.30674
ঢ়	-10.105
ঔ	-12.0945
ঊ	-12.0946
ঐ	-12.0947
ঋ	-12.0948
ঞ	-12.0949
অ	-12.095
ৃ	-12.095
